Title,Rating,Genre,Type,Episode Count,English,Romaji,漢字,Synopsis
009 Re:Cyborg,6.76,"Action, Adventure, Mecha, Sci-Fi",Movie,1,009 Re:Cyborg,009 Re:saiboogu,009 Re:サイボーグ,"Nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons. The nine cyborgs rebel and start to fight against their creators in the name of justice and world peace. Decades later, the nine cyborgs seem to be untouched by time, but they live in a world where ""justice"" has as many nuances as the number of people living on the planet. What is their place in the world now? 

""In the beginning was the Voice, and the word was Him; and all obeyed His word in great awe. But those who dwelt upon the land, through vanity, cunning and greed, attempted to build a multitude of towers whose tops reached unto heaven, and accumulated great wealth on earth. Scattering across the land and laying it to waste, man turned a deaf ear to His Voice. So He gave unto man an opportunity to atone for his misdeeds; and flame and smoke and the roar of a lion descended upon earth; and shattered the many towers to dust...."" 

(Source: Production I.G Official Website)"
009-1,6.39,"Action, Mecha, Sci-Fi, Seinen",TV,12,009-1,zerozeronainwan,ゼロゼロナインワン,"Mylene Hoffman, a beautiful cyborg spy with the codename ""009-1"" lives in an alternative world where the cold war never ended, continuously on-going for 140 years. The world is split into two factions, the West and the East block. A masquerade of peace between the two is slowly dissipated as the conflict occurs. Through politics, the two factions battle over supremacy over technology to threats of a nuclear attack. Mylene Hoffman, teaming up with three other agent, gets surrounded by deception, chaos, and rivalry as she carries out missions assigned by her superiors."
00:08,5.21,Dementia,Movie,1,00:08,00:08,00:08,"A man enjoys a drink over and over and over again, for eight seconds each time. At first, it seems like every drink is the same. But with every sip, something changes, making things a little more intriguing each time."
07-Ghost,7.41,"Action, Demons, Fantasy, Magic, Military, Shoujo",TV,25,07-Ghost,sebungoosuto,セブンゴースト,"Barsburg Empire's Military Academy is known for training elites who bring victory to the empire. Students of the academy freely utilize an ability called ""Zaiphon"" to fight, while the types of Zaiphon usable depends on the nature of the soldier.

Teito Klein, a student at the academy, is one of the most promising soldiers produced. Although ridiculed by everyone for being a sklave (German for slave) with no memories of his past, he is befriended by a fellow student called Mikage. While preparing for the final exam, Teito uncovers a dark secret related to his past. When an attempt to assassinate Ayanami, a high-ranking official who killed his father, fails, Teito is locked away awaiting punishment.

Only wanting the best for Teito, Mikage helps him escape. Teito ends up at the 7th District Church where he is taken in by the bishops. It is here that Teito attempts to evade the grasp of Ayanami and the Military, so he can rediscover his memories and learn why he is the person that can change the fate of the world."
1000-nen Joou: Queen Millennia,7.02,"Adventure, Drama, Fantasy, Sci-Fi",Movie,1,1000-nen Joou: Queen Millennia,1000-nen Joou: Queen Millennia,1000-nen Joou: Queen Millennia,"AD 1999, the Earth was in a critical situation; a planet Lar Metal was approaching to the Earth. Meanwhile, Yukino Yayoi was heard about Lar Metal from Dr. Amamori of Tokyo Observatory. She was a junior high school teacher, but she also worked for Dr. Amamori who appreciated her astronomical knowledge. Actually Yukino Yayoi was Queen Millennia who had come from Lar Metal 1000 years before, and she had been watching human beings since then.

Soon, numerous meteors fell on the Earth, and people were in panic. In this catastrophe, Hajime, who was a student of Yayoi, came to help Yayoi. Yayoi invited him into a big cave under the ground.

(Source: AnimeNfo)"
1001 Nights,6.41,"Demons, Fantasy, Romance, Seinen",Movie,1,1001 Nights,1001yoru,1001夜,"Presented in the form of a feverish love dream, 1001 Nights (based on Amano`s book of artwork) is the first performance of the groundbreaking ""Filmharmonic"" series, which presents new orchestral works by film composers in tandem with short films made by A-list directors. Nights is the series's only animated work, and plans originally called for the film to be completely computer animated. 

(Source: AniDB)"
11-nin Iru!,7.33,"Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space",Movie,1,They Were Eleven,11-nin Iru!,11人いる!,"After the Interstellar Alliance established peace among most of the planets in the universe, they created the Cosmo Academy. The academy is renowned as the most elite school in existence, with its graduates guaranteed virtually any job they desire. However, one can only become a student if they pass the entrance examinations held every three years, making the competition for admission extremely fierce.

Lane Tadatos is a Terran who has managed to reach the final stage of examinations. Placed in a group of 10, he is sent to the Esperanza—a ship stranded in orbit. Their final test is to survive 53 days on the ship, without any means of communication with the outside other than an emergency forfeit button. But a serious problem emerges for the examinees when they perform a headcount. There are 11 people aboard the Esperanza, meaning that one of them is an impostor."
11eyes,6.49,"Action, Ecchi, Super Power, Supernatural",TV,12,11eyes,11eyes irebun'aizu,11eyes イレブンアイズ,"When the sky turns red, the moon turns black, and monsters begin roaming the streets, Satsuki Kakeru is at a loss for what to do. Along with his best friend Yuka, they try to decipher why they have been sent to this strange world, which is seemingly empty aside from themselves.

However, when the ""Red Night"" ends, Kakeru and Yuka believe it was all a dream—until it happens again, and they are left in a dangerous situation. They meet four others in the same predicament: Kusakabe Misuzu, an expert swordswoman; Tachibana Kukuri, a strange mute girl who looks uncannily like Kakeru's deceased sister; Hirohara Yukiko, a lively young girl whose personality reverts to that of a cold killer when her glasses are removed; and Tajima Takahisa, a young pyrokineticist.

As the six of them band together to survive and discover what this mysterious world is, things take a turn for the worse as six shadows appear before them..."
12-gatsu no Uta,5.15,Kids,Movie,1,December Song,12-gatsu no Uta,12月のうた,"Short film by Tadanari Okamoto originally projected on three screens, and re-edited for domestic release many years later, set to a poem by Noriko Ibaraki of the same name."
12-sai.: Chicchana Mune no Tokimeki,6.69,"Romance, School, Shoujo",TV,12,12 years old. : Little Breast's Girlfriend's Crush,12-sai.: Chicchana Mune no Tokimeki,12歳。～ちっちゃなムネのトキメキ～,"Reaching a period of life where they are neither a child nor an adult, 12-year-old Hanabi Ayase and Aoi Yui meet with life-changing events. Due to the mischievous demeanor of her male classmates, Ayase does not think highly of the opposite sex. However, her perspective begins to change after she is paired with the kind-hearted Takao Yuuto for a class assignment and unexpectedly shared their first kisses with each other on the school rooftop.

With her best friend discovering love, Aoi yearns to seek her own. She finds herself falling in love with the rash Kazuma Hiyama after protecting her from a rejected suitor who had talked behind her back.

12-sai.: Chicchana Mune no Tokimeki follows the four in this phase of adolescence. As they grow up alongside each other, this sweet romance depicts the innocence and excitement of first love."
