name,lang,confidence,english,japanese,kanji
009 Re:Cyborg,en,0.63661885,009 Re:Cyborg,009 Re:saiboogu,009 Re:サイボーグ
009-1,en,0.0,009-1,009-1,009-1
00:08,en,0.0,00:08,00:08,00:08
07-Ghost,en,1.0,07-Ghost,07-goosuto,07-ゴースト
1000-nen Joou: Queen Millennia,fi,0.24258818,1000-nen Joou: Queen Millennia,1000-nen Joou: Queen Millennia,1000-nen Joou: Queen Millennia
1001 Nights,en,1.0,1001 Nights,1001yoru,1001夜
11-nin Iru!,ja,0.9399657,There are 11 people!,11-nin Iru!,１１ー人 いる！
11eyes,en,1.0,11eyes,11eyes,11eyes
12-gatsu no Uta,ja,1.0,december song,12-gatsu no Uta,１２ー月 の 歌
12-sai.: Chicchana Mune no Tokimeki,ja,1.0,12 years old. : Little Breast's Girlfriend's Crush,12-sai.: Chicchana Mune no Tokimeki,１２ーさい。： ちっちゃな むね の ときめき
12-sai.: Chicchana Mune no Tokimeki 2nd Season,ja,0.691709,12 years old. : Little girl's crush 2nd theater,12-sai.: Chicchana Mune no Tokimeki 2nd Season,１２ーさい。： ちっちゃな むね の ときめき ２んｄ せあそん
2020 Nyeon Ujuui Wonder Kiddy,en,0.43772572,2020 Nyeon Ujuui Wonder Kiddy,2020 nyon・ujui wandaakidi,2020 ニョン・ウジュイ ワンダーキディ
21 Emon,eu,0.51953125,21 Emon,21 Emon,21 Emon
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,ja,1.0,3 Choume no Tama: Please! Find Momo-chan as your girlfriend! !,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,３ ちょうめ の たま： おねがい！ ももーちゃん を さがして！！
3 Choume no Tama: Uchi no Tama Shirimasenka?,ja,1.0,3. Tama: Would you like to see our Tama?,3 Choume no Tama: Uchi no Tama Shirimasenka?,３ ちょうめ の たま： うち の たま しりませんか？
3-tsu no Kumo,ja,1.0,three clouds,3-tsu no Kumo,３ーつ の 雲
30-sai no Hoken Taiiku,ja,1.0,30-Re insurance physical education,30-sai no Hoken Taiiku,３０ー再 の 保険 体育
4.Eyes,en,1.0,4.Eyes,4.me,4.目
663114,en,0.0,663114,663114,663114
77Danui Bimil,ar,1.0,77Danui Bimil,77Danui Bimil,77Danui Bimil
8-gatsu no Symphony: Shibuya 2002-2003,ja,0.942594,8-gatsu no Symphony: Shibuya 2002-2003,8-gatsu no Symphony: Shibuya 2002-2003,８ーがつ の Ｓｙｍｐほｎｙ： しぶや ２００２ー２００３
91 Days,en,1.0,91 Days,91nichi,91日
A-Channel,en,0.9825175,A-Channel,Achanneru,Aチャンネル
A-jang.com,en,0.0,A-jang.com,A-jang.com,A-jang.com
A.D. Police (TV),en,0.6852786,A.D. Police (TV),A.D.porisu (TV),A.D.ポリス (TV)
A.LI.CE,ro,0.746113,A.LI.CE,A.LI.CE,A.LI.CE
AKB0048,tr,0.57471156,AKB0048,AKB0048,AKB0048
AKB0048: Next Stage,en,1.0,AKB0048: Next Stage,AKB0048:nekusutosuteeji,AKB0048:ネクストステージ
AWOL,en,0.9869281,AWOL,auoru,アウォル
Aa Harimanada,id,0.4117582,Aa Harimanada,Aa Harimanada,Aa Harimanada
Aa! Megami-sama! (TV),te,0.23270871,Aa! Megami-sama! (TV),Aa! Megami-sama! (TV),Aa! Megami-sama! (TV)
Aa! Megami-sama! Movie,mi,0.3701656,Aa! Megami-sama! Movie,Aa! Megami-sama! Movie,Aa! Megami-sama! Movie
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,ja,1.0,"ah! Megami-sama! ： It's small, it's small, isn't it?",Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,ああ！ めがみーさま！： ちちゃいって こと わ べんり だ ね
Aa! Megami-sama!: Sorezore no Tsubasa,ja,1.0,ah! Megami-sama! : Each wing,Aa! Megami-sama!: Sorezore no Tsubasa,ああ！ めがみーさま！： それぞれ の つばさ
Aachi wa Ssipak,bn,0.39570388,Aachi wa Ssipak,Aachi wa Ssipak,Aachi wa Ssipak
Abarenbou Rikishi!! Matsutarou,ja,1.0,A wild sumo wrestler! ! Matsutaro,Abarenbou Rikishi!! Matsutarou,暴れん坊 力士！！ 松太郎
Abenobashi Mahou☆Shoutengai,ja,0.94135016,Abenobashi Mahou☆Shoutengai,Abenobashi Mahou☆Shoutengai,Abenobashi Mahou☆Shoutengai
Accel World,en,0.9792782,Accel World,akuseru・waarudo,アクセル・ワールド
Accel World: Infinite∞Burst,en,0.9792782,Accel World: Infinite∞Burst,akuseru・waarudo infinitto∞baasuto,アクセル・ワールド インフィニット∞バースト
Acchi Kocchi,ja,0.5704465,here and there,Acchi Kocchi,あっち こっち
Acchi Kocchi (TV),hi,0.3788757,Acchi Kocchi (TV),Acchi Kocchi (TV),Acchi Kocchi (TV)
Ace wo Nerae!,ja,0.74168944,Aim for sweat!,Ace wo Nerae!,汗 を 狙え！
Ace wo Nerae! (1979),ja,0.74168944,Aim for sweat! (1979),Ace wo Nerae! (1979),汗 を 狙え！ （１９７９）
