name,english,japanese,kanji
009 Re:Cyborg,009 Re:Cyborg,009 Re:saiboogu,009 Re:サイボーグ
009-1,009-1,zerozeronainwan,ゼロゼロナインワン
00:08,00:08,00:08,00:08
07-Ghost,07-Ghost,sebungoosuto,セブンゴースト
1000-nen Joou: Queen Millennia,1000-nen Joou: Queen Millennia,1000-nen Joou: Queen Millennia,1000-nen Joou: Queen Millennia
1001 Nights,1001 Nights,1001yoru,1001夜
11-nin Iru!,They Were Eleven,11-nin Iru!,11人いる!
11eyes,11eyes,11eyes irebun'aizu,11eyes イレブンアイズ
12-gatsu no Uta,December Song,12-gatsu no Uta,12月のうた
12-sai.: Chicchana Mune no Tokimeki,12 years old. : Little Breast's Girlfriend's Crush,12-sai.: Chicchana Mune no Tokimeki,12歳。～ちっちゃなムネのトキメキ～
12-sai.: Chicchana Mune no Tokimeki 2nd Season,12 years old. : Little girl's crush 2nd theater,12-sai.: Chicchana Mune no Tokimeki 2nd Season,12歳。～ちっちゃなムネのトキメキ～
2020 Nyeon Ujuui Wonder Kiddy,2020 Wonder Kiddy,2020 nyon・ujui wandaakidi,2020 ニョン・ウジュイ ワンダーキディ
21 Emon,21 Emon,21emon,21エモン
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,3 Choume no Tama: Please! Find Momo-chan as your girlfriend! !,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,3丁目のタマ おねがい! モモちゃんを捜して!!
3 Choume no Tama: Uchi no Tama Shirimasenka?,3. Tama: Would you like to see our Tama?,3 Choume no Tama: Uchi no Tama Shirimasenka?,３ ちょうめ の たま： うち の たま しりませんか？
3-tsu no Kumo,Trilogy about Cloud,3-tsu no Kumo,３つの雲
30-sai no Hoken Taiiku,A Thirty-Year Old's Health and Physical Education,30-sai no Hoken Taiiku,30歳の保健体育
4.Eyes,4.Eyes,4.me,4.目
663114,663114,663114,663114
77Danui Bimil,77Danui Bimil,77Danui Bimil,77Danui Bimil
8-gatsu no Symphony: Shibuya 2002-2003,Symphony in August,8-gatsu no Symphony: Shibuya 2002-2003,8月のシンフォニー ―渋谷 2002～2003
91 Days,91 Days,91nichi,91日
A-Channel,A-Channel,Achanneru,Aチャンネル
A-jang.com,A-jang.com,A-jang.com,A-jang.com
A.D. Police (TV),A.D. Police: To Protect and Serve,adobansudoporisu,アドバンスドポリス
A.LI.CE,A.LI.CE,A.LI.CE,A.LI.CE
AKB0048,AKB0048,AKB0048,AKB0048
AKB0048: Next Stage,AKB0048: Next Stage,AKB0048:nekusutosuteeji,AKB0048:ネクストステージ
AWOL,AWOL,eiuooru,エイウォール
Aa Harimanada,Aa Harimanada,aaharimanada,ああ播磨灘
Aa! Megami-sama! (TV),Ah! My Goddess,aatsumegamisamatsu,ああっ女神さまっ
